"tier_4","grid_id","geometry","median_measurements"
"4-006","237155","POLYGON ((-63.400000000000624 46.500000000002906, -63.400000000000624 46.48333300000294, -63.383333000000626 46.48333300000292, -63.383333000000626 46.500000000002906, -63.400000000000624 46.500000000002906))","10"
"4-006","238580","POLYGON ((-62.533333000000574 46.18333300000293, -62.533333000000574 46.16666700000294, -62.51666700000058 46.166667000002924, -62.51666700000059 46.18333300000294, -62.533333000000574 46.18333300000293))","4"
"4-006","238157","POLYGON ((-62.816667000000585 46.283333000002905, -62.816667000000585 46.26666700000293, -62.80000000000059 46.26666700000291, -62.80000000000059 46.28333300000292, -62.816667000000585 46.283333000002905))","4"
"4-006","238362","POLYGON ((-62.85000000000057 46.233333000002915, -62.850000000000584 46.21666700000294, -62.83333300000059 46.216667000002936, -62.83333300000058 46.23333300000293, -62.85000000000057 46.233333000002915))","3"
"4-006","238510","POLYGON ((-62.61666700000056 46.20000000000294, -62.616667000000575 46.183333000002925, -62.60000000000057 46.183333000002946, -62.60000000000057 46.20000000000292, -62.61666700000056 46.20000000000294))","3"
"4-006","237864","POLYGON ((-62.850000000000605 46.35000000000292, -62.85000000000059 46.33333300000293, -62.83333300000059 46.333333000002916, -62.83333300000059 46.35000000000291, -62.850000000000605 46.35000000000292))","2"
"4-006","238463","POLYGON ((-63.400000000000624 46.20000000000294, -63.400000000000624 46.183333000002925, -63.383333000000626 46.18333300000293, -63.383333000000626 46.20000000000294, -63.400000000000624 46.20000000000294))","4"
"4-006","238811","POLYGON ((-62.63333300000057 46.11666700000295, -62.63333300000057 46.10000000000296, -62.61666700000058 46.100000000002964, -62.61666700000058 46.116667000002934, -62.63333300000057 46.11666700000295))","7"
"4-006","237681","POLYGON ((-63.25000000000062 46.383333000002914, -63.25000000000061 46.36666700000294, -63.23333300000062 46.36666700000292, -63.233333000000606 46.383333000002935, -63.25000000000062 46.383333000002914))","4"
"4-006","238636","POLYGON ((-62.66666700000057 46.16666700000292, -62.66666700000057 46.15000000000292, -62.65000000000058 46.15000000000292, -62.65000000000057 46.16666700000293, -62.66666700000057 46.16666700000292))","4"
"4-006","239073","POLYGON ((-62.7666670000006 46.00000000000294, -62.76666700000059 45.983333000002936, -62.750000000000576 45.98333300000296, -62.750000000000576 46.000000000002935, -62.7666670000006 46.00000000000294))","4"
"4-006","238420","POLYGON ((-62.9833330000006 46.21666700000294, -62.983333000000584 46.20000000000294, -62.96666700000059 46.20000000000292, -62.9666670000006 46.21666700000295, -62.9833330000006 46.21666700000294))","3"
"4-006","237540","POLYGON ((-62.78333300000058 46.41666700000293, -62.78333300000058 46.40000000000292, -62.76666700000059 46.400000000002926, -62.76666700000059 46.41666700000291, -62.78333300000058 46.41666700000293))","4"
"4-006","238358","POLYGON ((-62.91666700000058 46.23333300000292, -62.91666700000058 46.216667000002936, -62.90000000000059 46.21666700000292, -62.90000000000059 46.23333300000293, -62.91666700000058 46.23333300000292))","2"
"4-006","238295","POLYGON ((-62.816667000000585 46.25000000000291, -62.8166670000006 46.233333000002936, -62.80000000000059 46.23333300000291, -62.800000000000594 46.25000000000294, -62.816667000000585 46.25000000000291))","2"
"4-006","238864","POLYGON ((-62.55000000000057 46.10000000000294, -62.550000000000566 46.08333300000292, -62.53333300000056 46.08333300000296, -62.53333300000056 46.10000000000294, -62.55000000000057 46.10000000000294))","8"
"4-006","240167","POLYGON ((-61.883333000000526 46.63333300000291, -61.88333300000054 46.61666700000292, -61.86666700000052 46.61666700000293, -61.86666700000052 46.63333300000291, -61.883333000000526 46.63333300000291))","2"
"4-006","239068","POLYGON ((-62.850000000000584 46.000000000002956, -62.85000000000057 45.98333300000295, -62.83333300000058 45.98333300000294, -62.83333300000061 46.000000000002956, -62.850000000000584 46.000000000002956))","3"
"4-006","237466","POLYGON ((-62.500000000000576 46.433333000002904, -62.50000000000057 46.41666700000293, -62.48333300000056 46.416667000002924, -62.48333300000056 46.43333300000293, -62.500000000000576 46.433333000002904))","3"
"4-006","237510","POLYGON ((-63.28333300000063 46.41666700000292, -63.28333300000062 46.40000000000293, -63.26666700000062 46.40000000000291, -63.26666700000062 46.41666700000291, -63.28333300000063 46.41666700000292))","4"
"4-006","237712","POLYGON ((-62.7333330000006 46.38333300000292, -62.73333300000058 46.36666700000292, -62.71666700000059 46.366667000002906, -62.71666700000059 46.38333300000295, -62.7333330000006 46.38333300000292))","12"
"4-006","238001","POLYGON ((-63.066667000000606 46.316667000002916, -63.06666700000062 46.3000000000029, -63.05000000000061 46.30000000000292, -63.05000000000061 46.316667000002944, -63.066667000000606 46.316667000002916))","4"
"4-006","237688","POLYGON ((-63.133333000000604 46.383333000002914, -63.133333000000604 46.36666700000293, -63.11666700000062 46.36666700000292, -63.11666700000062 46.383333000002935, -63.133333000000604 46.383333000002914))","6"
"4-006","237250","POLYGON ((-63.31666700000063 46.466667000002914, -63.31666700000064 46.45000000000292, -63.300000000000615 46.45000000000291, -63.3000000000006 46.46666700000292, -63.31666700000063 46.466667000002914))","10"
"4-006","237387","POLYGON ((-62.316667000000564 46.45000000000292, -62.316667000000564 46.43333300000293, -62.30000000000054 46.43333300000293, -62.30000000000054 46.45000000000291, -62.316667000000564 46.45000000000292))","4"
"4-006","238574","POLYGON ((-62.63333300000057 46.18333300000292, -62.63333300000057 46.16666700000292, -62.6166670000006 46.16666700000292, -62.616667000000575 46.183333000002925, -62.63333300000057 46.18333300000292))","3"
"4-006","237986","POLYGON ((-63.31666700000063 46.31666700000295, -63.31666700000062 46.30000000000293, -63.3000000000006 46.30000000000292, -63.300000000000594 46.316667000002916, -63.31666700000063 46.31666700000295))","6"
"4-006","237563","POLYGON ((-62.40000000000056 46.4166670000029, -62.40000000000056 46.40000000000292, -62.38333300000056 46.400000000002926, -62.38333300000056 46.41666700000293, -62.40000000000056 46.4166670000029))","3"
"4-006","238182","POLYGON ((-62.40000000000056 46.28333300000291, -62.400000000000546 46.26666700000292, -62.38333300000056 46.26666700000292, -62.38333300000056 46.283333000002905, -62.40000000000056 46.28333300000291))","3"
"4-006","237287","POLYGON ((-62.48333300000056 46.46666700000292, -62.48333300000058 46.45000000000293, -62.466667000000555 46.450000000002916, -62.466667000000555 46.46666700000291, -62.48333300000056 46.46666700000292))","5"
"4-006","238317","POLYGON ((-62.45000000000056 46.25000000000293, -62.45000000000057 46.233333000002936, -62.433333000000566 46.23333300000293, -62.43333300000055 46.25000000000293, -62.45000000000056 46.25000000000293))","2"
"4-006","238032","POLYGON ((-62.550000000000566 46.31666700000292, -62.55000000000057 46.30000000000291, -62.53333300000056 46.300000000002925, -62.53333300000056 46.31666700000292, -62.550000000000566 46.31666700000292))","3"
"4-006","237835","POLYGON ((-63.333333000000614 46.35000000000292, -63.33333300000063 46.333333000002916, -63.31666700000063 46.333333000002916, -63.31666700000062 46.35000000000293, -63.333333000000614 46.35000000000292))","5"
"4-006","238026","POLYGON ((-62.65000000000058 46.316667000002944, -62.65000000000057 46.300000000002925, -62.63333300000058 46.30000000000292, -62.63333300000058 46.31666700000292, -62.65000000000058 46.316667000002944))","2"
"4-006","238033","POLYGON ((-62.53333300000056 46.31666700000292, -62.53333300000056 46.300000000002925, -62.51666700000058 46.30000000000293, -62.51666700000058 46.31666700000293, -62.53333300000056 46.31666700000292))","4"
"4-006","237697","POLYGON ((-62.98333300000062 46.383333000002914, -62.9833330000006 46.36666700000292, -62.9666670000006 46.366667000002906, -62.9666670000006 46.383333000002935, -62.98333300000062 46.383333000002914))","8"
"4-006","237282","POLYGON ((-62.566667000000564 46.4666670000029, -62.566667000000585 46.45000000000291, -62.550000000000566 46.450000000002916, -62.55000000000059 46.4666670000029, -62.566667000000564 46.4666670000029))","6"
"4-006","239140","POLYGON ((-62.70000000000059 45.96666700000296, -62.70000000000058 45.950000000002944, -62.683333000000566 45.950000000002944, -62.68333300000059 45.96666700000294, -62.70000000000059 45.96666700000296))","4"
"4-006","238814","POLYGON ((-62.583333000000586 46.11666700000295, -62.58333300000057 46.10000000000296, -62.566667000000564 46.10000000000295, -62.566667000000564 46.11666700000295, -62.583333000000586 46.11666700000295))","7"
"4-006","237713","POLYGON ((-62.71666700000059 46.38333300000295, -62.71666700000059 46.366667000002906, -62.70000000000059 46.366667000002934, -62.70000000000058 46.38333300000293, -62.71666700000059 46.38333300000295))","10"
"4-006","237783","POLYGON ((-62.88333300000059 46.366667000002906, -62.883333000000576 46.35000000000292, -62.86666700000058 46.35000000000292, -62.8666670000006 46.36666700000291, -62.88333300000059 46.366667000002906))","6"
"4-006","238314","POLYGON ((-62.50000000000057 46.25000000000292, -62.50000000000057 46.23333300000292, -62.48333300000056 46.23333300000293, -62.48333300000056 46.25000000000293, -62.50000000000057 46.25000000000292))","3"
"4-006","237419","POLYGON ((-63.28333300000062 46.433333000002904, -63.28333300000063 46.41666700000292, -63.26666700000062 46.41666700000291, -63.26666700000061 46.43333300000291, -63.28333300000062 46.433333000002904))","25"
"4-006","237291","POLYGON ((-62.41666700000056 46.46666700000292, -62.41666700000056 46.45000000000291, -62.400000000000574 46.45000000000292, -62.40000000000056 46.466667000002914, -62.41666700000056 46.46666700000292))","7"
"4-006","237277","POLYGON ((-62.65000000000057 46.466667000002914, -62.65000000000057 46.45000000000291, -62.63333300000057 46.450000000002916, -62.63333300000057 46.4666670000029, -62.65000000000057 46.466667000002914))","11"
"4-006","239036","POLYGON ((-62.850000000000584 46.01666700000295, -62.850000000000584 46.000000000002956, -62.83333300000061 46.000000000002956, -62.83333300000059 46.01666700000297, -62.850000000000584 46.01666700000295))","3"
"4-006","237906","POLYGON ((-62.150000000000546 46.35000000000291, -62.150000000000546 46.33333300000294, -62.13333300000055 46.33333300000296, -62.13333300000055 46.350000000002936, -62.150000000000546 46.35000000000291))","2"
"4-006","239144","POLYGON ((-62.633333000000555 45.96666700000296, -62.633333000000555 45.950000000002966, -62.616667000000575 45.95000000000294, -62.616667000000575 45.96666700000296, -62.633333000000555 45.96666700000296))","6"
"4-006","237996","POLYGON ((-63.15000000000062 46.3166670000029, -63.15000000000062 46.3000000000029, -63.13333300000061 46.30000000000293, -63.13333300000061 46.31666700000294, -63.15000000000062 46.3166670000029))","4"
"4-006","238528","POLYGON ((-63.400000000000624 46.183333000002925, -63.40000000000064 46.16666700000294, -63.383333000000626 46.16666700000294, -63.383333000000626 46.18333300000293, -63.400000000000624 46.183333000002925))","5"
"4-006","238169","POLYGON ((-62.616667000000575 46.28333300000293, -62.616667000000575 46.26666700000294, -62.60000000000057 46.26666700000295, -62.60000000000057 46.28333300000294, -62.616667000000575 46.28333300000293))","3"
"4-006","238542","POLYGON ((-63.1666670000006 46.183333000002925, -63.16666700000063 46.16666700000293, -63.15000000000062 46.16666700000294, -63.15000000000062 46.183333000002925, -63.1666670000006 46.183333000002925))","4"
"4-006","237568","POLYGON ((-62.31666700000055 46.41666700000293, -62.316667000000564 46.40000000000291, -62.30000000000054 46.40000000000291, -62.30000000000055 46.4166670000029, -62.31666700000055 46.41666700000293))","19"
"4-006","237160","POLYGON ((-63.31666700000063 46.500000000002935, -63.31666700000063 46.483333000002915, -63.300000000000615 46.48333300000293, -63.300000000000615 46.500000000002906, -63.31666700000063 46.500000000002935))","5"
"4-006","242363","POLYGON ((-61.85000000000053 46.68333300000288, -61.85000000000054 46.6666670000029, -61.83333300000053 46.6666670000029, -61.83333300000053 46.683333000002904, -61.85000000000053 46.68333300000288))","2"
"4-006","237936","POLYGON ((-62.91666700000058 46.333333000002916, -62.91666700000058 46.31666700000293, -62.90000000000059 46.316667000002916, -62.9000000000006 46.33333300000292, -62.91666700000058 46.333333000002916))","4"
"4-006","241139","POLYGON ((-62.00000000000053 46.33333300000294, -62.00000000000052 46.31666700000295, -61.98333300000052 46.316667000002916, -61.983333000000535 46.33333300000293, -62.00000000000053 46.33333300000294))","4"
"4-006","240471","POLYGON ((-62.05000000000053 46.583333000002916, -62.05000000000053 46.56666700000292, -62.03333300000053 46.566667000002916, -62.03333300000054 46.58333300000294, -62.05000000000053 46.583333000002916))","2"
"4-006","237319","POLYGON ((-63.450000000000635 46.45000000000292, -63.45000000000065 46.433333000002925, -63.43333300000062 46.43333300000292, -63.43333300000061 46.45000000000292, -63.450000000000635 46.45000000000292))","5"
"4-006","237983","POLYGON ((-63.36666700000062 46.316667000002916, -63.366667000000625 46.30000000000292, -63.35000000000063 46.300000000002925, -63.35000000000061 46.31666700000294, -63.36666700000062 46.316667000002916))","4"
"4-006","238168","POLYGON ((-62.63333300000057 46.28333300000293, -62.63333300000057 46.26666700000295, -62.616667000000575 46.26666700000294, -62.616667000000575 46.28333300000293, -62.63333300000057 46.28333300000293))","6"
"4-006","238848","POLYGON ((-62.816667000000585 46.10000000000294, -62.816667000000585 46.08333300000293, -62.80000000000059 46.08333300000295, -62.80000000000059 46.10000000000293, -62.816667000000585 46.10000000000294))","3"
"4-006","237743","POLYGON ((-62.216667000000555 46.383333000002914, -62.21666700000055 46.36666700000293, -62.20000000000056 46.366667000002934, -62.20000000000054 46.383333000002935, -62.216667000000555 46.383333000002914))","6"
"4-006","237309","POLYGON ((-62.11666700000054 46.466667000002914, -62.11666700000054 46.45000000000291, -62.10000000000054 46.45000000000292, -62.10000000000056 46.46666700000292, -62.11666700000054 46.466667000002914))","5"
"4-006","238386","POLYGON ((-62.45000000000057 46.233333000002936, -62.45000000000057 46.216667000002936, -62.43333300000055 46.216667000002936, -62.433333000000566 46.23333300000293, -62.45000000000057 46.233333000002936))","3"
"4-006","237806","POLYGON ((-62.500000000000576 46.36666700000293, -62.50000000000057 46.350000000002915, -62.48333300000056 46.35000000000294, -62.48333300000056 46.36666700000293, -62.500000000000576 46.36666700000293))","4"
"4-006","237199","POLYGON ((-63.33333300000064 46.48333300000293, -63.33333300000063 46.4666670000029, -63.31666700000063 46.466667000002914, -63.31666700000063 46.483333000002915, -63.33333300000064 46.48333300000293))","5"
"4-006","237537","POLYGON ((-62.83333300000061 46.416667000002924, -62.83333300000061 46.40000000000291, -62.816667000000585 46.4000000000029, -62.816667000000585 46.4166670000029, -62.83333300000061 46.416667000002924))","6"
"4-006","237632","POLYGON ((-62.68333300000058 46.40000000000291, -62.68333300000059 46.38333300000292, -62.66666700000058 46.383333000002914, -62.66666700000058 46.400000000002926, -62.68333300000058 46.40000000000291))","3"
"4-006","239049","POLYGON ((-62.633333000000555 46.01666700000295, -62.633333000000555 46.00000000000295, -62.616667000000575 46.000000000002935, -62.61666700000058 46.01666700000295, -62.633333000000555 46.01666700000295))","16"
"4-006","238342","POLYGON ((-63.18333300000061 46.23333300000293, -63.18333300000061 46.21666700000293, -63.16666700000063 46.21666700000293, -63.166667000000615 46.233333000002936, -63.18333300000061 46.23333300000293))","3"
"4-006","238406","POLYGON ((-63.216667000000626 46.21666700000292, -63.21666700000061 46.20000000000291, -63.200000000000614 46.20000000000293, -63.2000000000006 46.216667000002936, -63.216667000000626 46.21666700000292))","12"
"4-006","237574","POLYGON ((-62.216667000000555 46.4166670000029, -62.21666700000055 46.40000000000292, -62.20000000000054 46.40000000000291, -62.20000000000056 46.41666700000291, -62.216667000000555 46.4166670000029))","2"
"4-006","238403","POLYGON ((-63.26666700000061 46.216667000002936, -63.26666700000061 46.20000000000293, -63.25000000000061 46.20000000000292, -63.25000000000062 46.216667000002936, -63.26666700000061 46.216667000002936))","3"
"4-006","241041","POLYGON ((-62.00000000000052 46.40000000000291, -62.00000000000052 46.38333300000292, -61.983333000000535 46.38333300000292, -61.983333000000535 46.4000000000029, -62.00000000000052 46.40000000000291))","2"
"4-006","237326","POLYGON ((-63.33333300000064 46.45000000000291, -63.33333300000063 46.43333300000291, -63.31666700000063 46.43333300000291, -63.31666700000064 46.45000000000292, -63.33333300000064 46.45000000000291))","6"
"4-006","238135","POLYGON ((-63.183333000000594 46.283333000002905, -63.183333000000594 46.26666700000291, -63.16666700000063 46.26666700000292, -63.166667000000615 46.283333000002926, -63.183333000000594 46.283333000002905))","4"
