"tier_4","grid_id","geometry","median_measurements"
"4-007","242480","POLYGON ((-64.00000000000068 46.95000000000288, -64.00000000000068 46.933333000002875, -63.98333300000068 46.93333300000289, -63.9833330000007 46.950000000002895, -64.00000000000068 46.95000000000288))","10"
"4-007","243499","POLYGON ((-63.68333300000066 46.4333330000029, -63.683333000000644 46.41666700000291, -63.66666700000066 46.416667000002924, -63.66666700000064 46.43333300000292, -63.68333300000066 46.4333330000029))","5"
"4-006","239105","POLYGON ((-62.783333000000596 45.98333300000297, -62.78333300000058 45.96666700000296, -62.766667000000574 45.96666700000295, -62.76666700000059 45.983333000002936, -62.783333000000596 45.98333300000297))","2"
"4-006","237997","POLYGON ((-63.13333300000061 46.31666700000294, -63.13333300000061 46.30000000000293, -63.11666700000062 46.300000000002925, -63.11666700000062 46.31666700000293, -63.13333300000061 46.31666700000294))","6"
"4-006","238422","POLYGON ((-62.9500000000006 46.21666700000292, -62.9500000000006 46.20000000000292, -62.9333330000006 46.20000000000294, -62.9333330000006 46.21666700000293, -62.9500000000006 46.21666700000292))","3"
"4-006","237515","POLYGON ((-63.20000000000062 46.41666700000292, -63.200000000000614 46.40000000000292, -63.18333300000062 46.40000000000291, -63.18333300000061 46.41666700000291, -63.20000000000062 46.41666700000292))","5"
"4-007","243429","POLYGON ((-64.11666700000069 46.45000000000291, -64.11666700000069 46.43333300000291, -64.10000000000066 46.43333300000289, -64.10000000000068 46.45000000000291, -64.11666700000069 46.45000000000291))","5"
"4-007","242596","POLYGON ((-64.06666700000068 46.850000000002886, -64.06666700000068 46.8333330000029, -64.05000000000068 46.833333000002895, -64.05000000000068 46.850000000002915, -64.06666700000068 46.850000000002886))","9"
"4-006","238556","POLYGON ((-62.9333330000006 46.18333300000292, -62.933333000000616 46.16666700000296, -62.9166670000006 46.166667000002924, -62.916667000000594 46.18333300000293, -62.9333330000006 46.18333300000292))","2"
"4-006","237519","POLYGON ((-63.133333000000626 46.4166670000029, -63.13333300000061 46.40000000000294, -63.11666700000062 46.40000000000292, -63.11666700000063 46.416667000002924, -63.133333000000626 46.4166670000029))","5"
"4-007","243291","POLYGON ((-63.51666700000063 46.5166670000029, -63.51666700000063 46.500000000002906, -63.50000000000064 46.50000000000289, -63.50000000000064 46.51666700000291, -63.51666700000063 46.5166670000029))","4"
"4-007","242607","POLYGON ((-64.26666700000068 46.833333000002895, -64.2666670000007 46.816667000002894, -64.25000000000068 46.816667000002894, -64.25000000000068 46.83333300000288, -64.26666700000068 46.833333000002895))","4"
"4-007","243148","POLYGON ((-63.90000000000066 46.5666670000029, -63.90000000000068 46.550000000002896, -63.883333000000654 46.550000000002896, -63.88333300000067 46.566667000002894, -63.90000000000066 46.5666670000029))","4"
"4-006","238415","POLYGON ((-63.066667000000606 46.21666700000293, -63.06666700000062 46.20000000000293, -63.050000000000594 46.200000000002944, -63.050000000000594 46.21666700000293, -63.066667000000606 46.21666700000293))","4"
"4-007","243164","POLYGON ((-63.63333300000063 46.566667000002916, -63.63333300000065 46.5500000000029, -63.616667000000646 46.55000000000291, -63.61666700000064 46.566667000002916, -63.63333300000063 46.566667000002916))","4"
"4-006","237910","POLYGON ((-63.35000000000061 46.333333000002916, -63.35000000000061 46.31666700000294, -63.33333300000063 46.31666700000293, -63.33333300000063 46.333333000002916, -63.35000000000061 46.333333000002916))","2"
"4-006","237812","POLYGON ((-62.400000000000546 46.366667000002934, -62.40000000000056 46.35000000000293, -62.38333300000056 46.35000000000293, -62.38333300000056 46.366667000002906, -62.400000000000546 46.366667000002934))","4"
"4-007","243469","POLYGON ((-64.18333300000069 46.43333300000292, -64.18333300000067 46.41666700000291, -64.16666700000069 46.416667000002896, -64.16666700000069 46.43333300000291, -64.18333300000069 46.43333300000292))","17"
"4-006","238178","POLYGON ((-62.466667000000555 46.28333300000292, -62.46666700000057 46.266667000002926, -62.45000000000057 46.26666700000292, -62.45000000000057 46.283333000002905, -62.466667000000555 46.28333300000292))","3"
