"tier_4","average_measurements","median_measurements","minimum_measurements","maximum_measurements"
"4-073","65.3636899294664","4","1","88115"
"4-150","107.26182718086203","5","1","52369"
"4-002","38.86233480176212","4","1","9330"
"4-070","92.67231305494242","4","1","107296"
"4-004","1922.1115459882583","17","1","654595"
"4-016","64.03068625627674","4","1","29231"
"4-147","39.964833713531036","4","1","46963"
"4-041","52.26779151353158","4","1","13546"
"4-155","92.11288793982509","4","1","164264"
"4-066","88.46746009256636","4","1","58117"
"4-018","1391.8498478922209","56","1","1714469"
"4-018","64.78696632850193","4","1","118185"
"4-033","58.4602658788774","4","1","19716"
"4-050","88.933704123322","4","1","145690"
"4-025","105.94161636664708","5","1","72321"
"4-075","50.953620608667705","4","1","59733"
"4-044","105.85078898207401","4","1","99761"
"4-100","75.6250211635388","4","1","74690"
"4-032","67.53051372358513","4","1","72260"
"4-102","130.95995805129184","5","1","49866"
"4-125","133.90157851596584","4","1","138751"
"4-143","36.978987828315184","4","1","20846"
"4-093","47.58107095636844","4","1","44241"
"4-005","124.50168982350732","5","1","22166"
"4-020","46.94770832027086","4","1","20887"
"4-124","108.58922130277955","4","1","103532"
"4-157","49.37129518285351","4","1","58002"
"4-011","1206.6583134447096","6","1","506942"
"4-129","43.480588938526395","4","1","57491"
"4-059","62.59234095120445","4","1","20837"
"4-056","65.24823508005822","4","1","38123"
"4-085","60.019229443793506","4","1","41499"
"4-154","109.78272665611576","4","1","296790"
"4-133","26.694355300478048","4","1","24667"
"4-012","734.1950500883913","11","1","400857"
"4-153","62.59922644443559","4","1","34277"
"4-077","119.19954457294735","4","1","854868"
"4-114","80.84178949587326","4","1","100660"
"4-026","1477.8503721112418","7","1","753543"
"4-024","1152.8637554585152","17","1","339211"
"4-099","65.23936197319472","4","1","39113"
"4-087","84.85328840697203","4","1","176967"
"4-117","122.94190871369294","4","1","37816"
"4-003","1909.7583081570997","21","1","793349"
"4-060","92.07545769421078","5","1","30047"
"4-043","46.73708414872799","4","1","20677"
"4-149","67.40943347193347","4","1","41804"
"4-063","80.65834984687444","4","1","54717"
"4-113","151.15462337786715","4","1","72241"
"4-145","34.80796934158279","4","1","29879"
"4-035","61.30706944876985","4","1","39868"
"4-031","45.668500458447944","4","1","42825"
"4-081","62.326437531723585","4","1","56188"
"4-127","52.05058457895516","4","1","76658"
"4-130","79.71554834054834","4","1","14413"
"4-038","58.48351648351648","4","1","45473"
"4-069","51.30447176198111","4","1","22590"
"4-079","104.02993560041324","4","1","172600"
"4-036","133.31703703703704","5","1","43575"
"4-009","58.48202292581932","4","1","41140"
"4-028","116.75468768661173","5","1","111416"
"4-052","96.11146621911155","4","1","56228"
"4-003","73.15049470578025","5","1","31562"
"4-132","71.3392318793493","4","1","113138"
"4-011","95.13105243351731","4","1","158263"
"4-049","102.50765531455491","4","1","80748"
"4-131","60.67857735564832","4","1","58310"
"4-158","78.62533339069087","4","1","82127"
"4-169","56.09249790668258","4","1","37597"
"4-021","76.85968028419182","4","1","33527"
"4-146","74.99891552797104","4","1","94564"
"4-013","66.05283283224846","4","1","43567"
"4-151","125.75993449684499","5","1","123750"
"4-119","74.35839654915961","5","1","59426"
"4-111","125.90026274975524","4","1","376263"
"4-053","48.65103259890736","4","1","42360"
"4-017","55.00246862142597","4","1","59625"
"4-118","193.36907095256763","4","1","52901"
"4-135","35.47172595436804","4","1","45429"
"4-161","44.371736842105264","4","1","22330"
"4-138","38.81747999735502","4","1","30340"
"4-064","67.38718365253078","4","1","48409"
"4-086","83.27919969348575","4","1","225094"
"4-030","103.1029227247049","4","1","271313"
"4-016","700.2569491525423","4","1","298381"
"4-037","96.65780841369269","4","1","107480"
"4-013","1163.4467866323907","8","1","538503"
"4-084","103.83983062392153","4","1","136817"
"4-054","84.74490605173256","5","1","61778"
"4-074","64.96402945249963","4","1","115057"
"4-137","50.67801164869385","4","1","81670"
"4-101","61.57239655651208","4","1","24775"
"4-088","77.18263302872633","4","1","59818"
"4-109","63.28649125385859","5","1","58640"
"4-058","101.8188937020993","4","1","93137"
"4-103","67.8619366094795","5","1","37395"
"4-164","64.21381951561573","4","1","33552"
"4-071","57.447585211502165","4","1","45180"
"4-022","1076.363963963964","12","1","193416"
"4-104","55.464780540495624","4","1","43082"
"4-004","86.83573512509946","5","1","38288"
"4-076","51.634573864675964","4","1","15348"
"4-008","1790.3579725448785","64","1","542354"
"4-012","46.41714477311676","4","1","38603"
"4-010","65.44074256388262","4","1","217433"
"4-144","51.12924427229273","4","1","61370"
"4-152","123.789848274369","4","1","674445"
"4-040","125.76633342339908","4","1","120049"
"4-121","75.98760911594118","4","1","38511"
"4-120","71.69665336198956","5","1","42530"
"4-009","1325.8380080137379","16","1","1298951"
"4-005","1282.5841392649904","6","1","197278"
"4-047","96.50047091818581","4","1","90511"
"4-090","147.04575452259655","4","1","255101"
"4-051","134.82967027575611","4","1","618629"
"4-006","65.4081044542479","4","1","85183"
"4-006","1771.1859344894026","97","1","806813"
"4-167","88.59812491804712","4","1","103438"
"4-083","74.96697231371851","4","1","38652"
"4-062","129.90540968048086","5","1","47731"
"4-140","42.45274765668076","4","1","42917"
"4-168","57.16834646362396","4","1","41410"
"4-015","1497.8263527973097","36","1","1247919"
"4-095","64.6850847230594","4","1","30968"
"4-097","73.95529325908652","4","1","73157"
"4-098","51.99953766388164","4","1","19758"
"4-055","108.57710458042584","4","1","435859"
"4-019","1802.6860425819534","10","1","1421538"
"4-007","49.77449455676516","4","1","35321"
"4-010","1377.996408045977","217","1","3632380"
"4-115","103.0974353796446","5","1","37702"
"4-027","62.18128000577555","4","1","53942"
"4-089","65.52491773855819","4","1","56318"
"4-019","69.08712714838944","4","1","71314"
"4-108","85.67477321420431","4","1","54849"
"4-159","47.05051374196487","4","1","30549"
"4-107","40.98228556884703","4","1","17035"
"4-007","1008.0314960629921","18","1","504119"
"4-001","2350.196291112666","489","1","1789130"
"4-123","64.41037365790241","4","1","94804"
"4-020","999.6915887850467","12","1","218520"
"4-166","96.65991835834069","4","1","70058"
"4-106","102.81485474518489","5","1","64767"
"4-139","37.47149893020064","4","1","34386"
"4-092","89.82357949775742","4","1","103663"
"4-042","87.90998256135425","4","1","155244"
"4-122","65.78290554705649","4","1","37151"
"4-096","52.711783740375076","4","1","36706"
"4-023","1706.7900128040974","54","1","1202178"
"4-001","84.44632889112397","4","1","94546"
"4-110","110.74293077193393","4","1","120471"
"4-017","1343.9837108679053","45","1","1522750"
"4-116","59.07252308460195","4","1","59718"
"4-105","56.21331511128466","4","1","42718"
"4-014","1512.6353233830846","191","1","915322"
"4-045","71.3419624689125","4","1","60538"
"4-014","57.76378835375701","4","1","51647"
"4-008","65.52790446007575","5","1","33342"
"4-091","63.20496592015579","4","1","37803"
"4-163","54.743986254295535","5","1","36445"
"4-026","64.40462940835069","4","1","73972"
"4-080","53.62150971976774","4","1","29794"
"4-072","72.71521894734934","4","1","86143"
"4-134","51.86790109795532","4","1","52710"
"4-094","78.40711205066015","4","1","126699"
"4-024","59.08549303970279","4","1","30447"
"4-126","47.385247560827494","4","1","23844"
"4-061","85.27553347450724","5","1","45424"
"4-165","79.85888841747985","4","1","60881"
"4-082","51.942796319186925","4","1","69802"
"4-046","57.088099854580705","4","1","64867"
"4-078","62.92073068943314","4","1","68981"
"4-128","77.7498536728124","4","1","68505"
"4-025","1745.8917253521126","13","1","548783"
"4-022","68.11653363740022","4","1","21186"
"4-021","724.2175732217573","6","1","196723"
"4-112","65.84999852476912","4","1","30212"
"4-029","43.439752983556744","4","1","46701"
"4-023","76.77556780002688","5","1","44141"
"4-068","60.75490383826225","4","1","48732"
"4-160","94.58423499761005","5","1","74942"
"4-148","46.45709560686755","4","1","66937"
"4-067","90.80240089203103","4","1","114071"
"4-156","67.34016844379539","4","1","40249"
"4-039","56.00499924253901","4","1","33832"
"4-002","499.6389380530973","10","1","89516"
"4-136","90.79987020813053","4","1","535318"
"4-065","98.04209068881966","4","1","44660"
"4-057","53.490241048443714","4","1","36216"
"4-162","72.50404976748483","4","1","50737"
"4-141","79.83206777603309","4","1","206029"
"4-142","40.23323694198446","4","1","25180"
"4-170","119.27250608272506","5","1","43997"
"4-015","71.18619687613513","4","1","115273"
"4-048","90.13181543046049","4","1","117100"
"4-034","70.46935483870968","4","1","61273"
